data_inversa;horario;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;latitude;longitude
20/12/2023;07:30:00;VARZEA DA PALMA;Velocidade Incompatível;Saída de leito carroçável;Com Vítimas Feridas;Amanhecer;Crescente;Chuva;Simples;Curva;-17,14942873;-44,77300029
20/12/2023;11:50:00;NOSSA SENHORA DO SOCORRO;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Decrescente;Sol;Dupla;Reta;-10,9041;-37,1278
20/12/2023;09:05:00;ALVORADA DO NORTE;Velocidade Incompatível;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Simples;Reta;-14,654471;-46,639088
20/12/2023;12:15:00;NOBRES;Chuva;Capotamento;Sem Vítimas;Pleno dia;Crescente;Chuva;Dupla;Reta;-14,76386003;-56,34804297
20/12/2023;12:30:00;PARATY;Velocidade Incompatível;Colisão com objeto;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;"Curva;Aclive";-23,14344223;-44,69851328
20/12/2023;12:15:00;GANDU;Curva acentuada;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Simples;"Curva;Declive";-13,795806;-39,495607
20/12/2023;11:30:00;SALINAS;Manobra de mudança de faixa;Colisão frontal;Com Vítimas Fatais;Pleno dia;Crescente;Chuva;Simples;"Reta;Declive";-16,13540391;-42,27795196
20/12/2023;14:15:00;LONDRINA;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;-23,29298578;-51,09773105
20/12/2023;14:20:00;BIGUACU;Avarias e/ou desgaste excessivo no pneu;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Sol;Múltipla;Reta;-27,5047092;-48,65010819
20/12/2023;14:25:00;NATAL;Manobra de mudança de faixa;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;-5,826932;-35,210953
20/12/2023;13:00:00;PALMITAL;Ultrapassagem Indevida;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Decrescente;Sol;Simples;"Curva;Aclive";-24,87922442;-52,22111944
20/12/2023;15:30:00;ARAGUAINA;Demais falhas mecânicas ou elétricas;Tombamento;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;-7,22175693;-48,24826214
20/12/2023;16:00:00;MAGE;Acumulo de areia ou detritos sobre o pavimento;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Garoa/Chuvisco;Simples;Reta;-22,65705297;-43,061742
20/12/2023;15:30:00;JOAO PESSOA;Demais falhas mecânicas ou elétricas;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;-7,1281;-34,8466
20/12/2023;16:20:00;SAO JOSE DOS PINHAIS;Ausência de reação do condutor;Tombamento;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;-25,59168398;-49,17197705
20/12/2023;16:00:00;PIMENTA BUENO;Ultrapassagem Indevida;Colisão frontal;Com Vítimas Feridas;Pleno dia;Crescente;Chuva;Simples;Reta;-11,98740675;-60,94744778
10/11/2023;19:30:00;TANQUINHO;Ultrapassagem Indevida;Colisão frontal;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Simples;"Aclive;Reta";-11,96238;-39,1496248
20/12/2023;16:30:00;DUQUE DE CAXIAS;Manobra de mudança de faixa;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Múltipla;Reta;-22,76375592;-43,28683062
20/12/2023;17:40:00;ITABAIANA;Acostamento em desnível;Tombamento;Com Vítimas Feridas;Plena Noite;Decrescente;Chuva;Simples;Reta;-10,731889;-37,411335
20/12/2023;14:00:00;MASCOTE;Velocidade Incompatível;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Decrescente;Chuva;Simples;Curva;-15,858785;-39,520394
