data_inversa;horario;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;latitude;longitude
26/04/2026;18:20:00;CORUPA;Pista Escorregadia;Colisão lateral sentido oposto;Com Vítimas Feridas;Plena Noite;Crescente;Chuva;Múltipla;"Curva;Declive";-26,39677969;-49,29442819
26/04/2026;07:20:00;IRAJUBA;Ultrapassagem Indevida;Colisão traseira;Sem Vítimas;Pleno dia;Crescente;Céu Claro;Simples;Curva;-13,173921;-39,999693
26/04/2026;00:30:00;VASSOURAS;Velocidade Incompatível;Queda de ocupante de veículo;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;"Declive;Curva";-22,23736429;-43,41753356
26/04/2026;07:15:00;ARAQUARI;Velocidade Incompatível;Colisão com objeto;Com Vítimas Feridas;Pleno dia;Crescente;Chuva;Dupla;Reta;-26,43656437;-48,81105272
26/04/2026;08:45:00;BOM DESPACHO;Ultrapassagem Indevida;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;-19,78841;-45,21361
26/04/2026;08:30:00;BRASILIA;Chuva;Atropelamento de Pedestre;Com Vítimas Fatais;Pleno dia;Crescente;Chuva;Dupla;"Desvio Temporário;Curva;Em Obras";-15,59806177;-47,67477393
26/04/2026;08:00:00;CORONEL VIVIDA;Ultrapassagem Indevida;Colisão frontal;Com Vítimas Fatais;Amanhecer;Crescente;Garoa/Chuvisco;Simples;Curva;-25,96151;-52,42434
26/04/2026;08:45:00;ILHOTA;Velocidade Incompatível;Colisão com objeto;Com Vítimas Feridas;Pleno dia;Decrescente;Chuva;Dupla;Curva;-26,88074556;-48,83924659
26/04/2026;07:50:00;SINOP;Afundamento ou ondulação no pavimento;Queda de ocupante de veículo;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;-12,12076895;-55,51614258
26/04/2026;10:06:00;SAO JOSE;Velocidade Incompatível;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Decrescente;Chuva;Múltipla;Reta;-27,55224977;-48,61926019
26/04/2026;01:30:00;LARANJEIRAS DO SUL;Velocidade Incompatível;Saída de leito carroçável;Com Vítimas Fatais;Plena Noite;Crescente;Céu Claro;Simples;"Reta;Declive";-25,33601;-52,35921
26/04/2026;09:50:00;MOSSORO;Acesso irregular;Colisão transversal;Com Vítimas Fatais;Pleno dia;Crescente;Céu Claro;Múltipla;"Reta;Rotatória";-5,23093279;-37,32089996
26/04/2026;11:15:00;PRUDENTOPOLIS;Chuva;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Chuva;Simples;Curva;-25,19975;-50,927182
26/04/2026;12:25:00;DUQUE DE CAXIAS;Afundamento ou ondulação no pavimento;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;-22,6550397;-43,2840493
26/04/2026;11:30:00;LINDOESTE;Chuva;Colisão com objeto;Com Vítimas Feridas;Pleno dia;Decrescente;Chuva;Dupla;Curva;-25,21719121;-53,5955143
26/04/2026;14:00:00;MESQUITA;Ultrapassagem Indevida;Colisão lateral mesmo sentido;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;"Viaduto;Declive;Reta";-22,76822203;-43,41079887
26/04/2026;14:00:00;MASSARANDUBA;Demais falhas na via;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;"Reta;Em Obras";-7,269229;-35,791407
26/04/2026;13:35:00;BELO HORIZONTE;Retorno proibido;Colisão transversal;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;-19,83958937;-43,877376
26/04/2026;14:50:00;UBATUBA;Conversão proibida;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;-23,44481277;-45,08312629
26/04/2026;13:20:00;PROFESSOR JAMIL;Condutor usando celular;Saída de leito carroçável;Sem Vítimas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;-17,35063838;-49,25170898
26/04/2026;11:40:00;MAGE;Velocidade Incompatível;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;-22,58562495;-43,01683688
26/04/2026;16:00:00;UBAPORANGA;Curva acentuada;Colisão com objeto;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Curva;-19,690808;-42,117133
